;Review
0;Splendid  as always
1;Always a joy to return to Wiltons. Impeccable all round. Looking forward to returning.
2;Simply perfect in every way. Service food, wine and setting
3;We really enjoyed dining here and look forward to coming again. We liked the traditional, elegant style of the dining room. The service from everyone was exceptional, very warm and professional, and explanations of the dishes were good. The food was excellent. To start with we had the lobster bisque and smoked trout, which were both full of flavour. We both had the pheasant, which came well recommended and deservedly so, it was fabulous. We followed this by the apricot soufflés, one of our favourite desserts. The wines as recommended by the sommelier were also very good. We had coffee and tea afterwards, served in silver teapots, accompanied by petit fours, a big plus to have filter coffee available on the menu!Excellent from start to finish, we recommend!
4;Exceptional from start to finish. Personable and professional front of house staff  very friendly and knowledgeable, fabulous food, terrific wines. The Oysters and lobster were out of this world. Highly recommended.
5;My wife’s birthday
6;The service attention plus the food and wine selection exceeded our expectations. The cooking method is French with heavy sauce onto British cuisine. Starters: We love the Blue Silton soufflé, the game terrine and freshness of langoustine. For main, the pheasant and venison were cooked to perfection. Missing the fat cut British chips as more like French fries. PS: all the men worn suits even thou not specify! So do dress up.
7;Probably one of the best ambience in London, it’s quiet, comfortable, mood lighting and carpet that absorbs noise. The customers frequenting Wiltons appear to adhere to an unwritten code of good behaviour, jackets and ties for a vast majority of men and women look smart. The food is generally very good although this time my lamb cutlets were fatty and over-cooked, the Stilton cheese soufflé was nice but needed more flavour but nicely risen, the crumble was excellent. This is a superb venue and although rightly so, is certainly on the verge of over-pricing.
8;Lovely food and the finest service anywhere.
9;Service was impeccable and overall a really great evening. Particularly good for taking out family or out of town-ers
10;Lovely relaxed late lunch and a spot of West End shopping afterwards
11;Charming,efficient and helpful  staff, beautifully presented food and a great wine list in a lovely restrained English atmosphere, what more could you want .
12;A classic. Attentive service, fresh food prepared to perfection and the atmosphere is quiet and relaxing.
13;An absolute pleasure to dine here. This was our third visit and now a firm favourite. Everything from food to service is exemplary. The menu is varied and beautifully prepared and presented. Lovely staff and a fabulous quintessentially British atmosphere. Just divine.
14;Excellent as always
15;Had a delicious meal - very traditional British.  So enjoyed it! Will definitely come again when  visiting London
16;First of all, I have been told that this restaurant is apparently currently being targeted by “fraudsters”, according to Wiltons, who are working with the Information Commissioner’s Office to resolve this issue. These alleged fraudsters managed to get hold of the details of my restaurant booking (which I had made through OpenTable), and call me in order to obtain my card details, in order for them to spend on my card by saying that they needed a deposit to secure my restaurant booking. As a result I had to cancel the card before I’d even got to Wiltons. Despite the restaurant knowing this before I got there to celebrate my birthday, no one apologised to me on my arrival for any inconvenience caused and they declined to give us the kind of table we requested. Beyond this disappointing start to the evening, I must say that the service and the food were excellent. The soufflé, the oysters, the lobster Thermidor and Newberg, were all fantastic. For dessert I had the crumble and my girlfriend had the strawberry soufflé with pistachio ice cream. Again these were top notch. The restaurant laid on a small treat for my birthday at the end of the meal which was much appreciated. The atmosphere was cheerful and nowhere near as stuffy as I had feared. I had feared that the old-school reputation of Wiltons might mean substandard food - but not a bit of it. I was pleasantly surprised at how good it all was. So I’ll definitely be back at some stage, but I won’t be laying out any deposits for tables next time!
17;Excellent as always
18;Fantastic as always
19;A lovely meal, a stilton soufflé to die for! What a lovely place, one of our new favourites I think!
20;Had a fab lunch at Wiltons - a very traditional British restaurant.  The food was delicious and I had apple crumble and custard.  I will come back again
21;Absolutely splendid My favourite London Restaurant Excellent food Exceptional staff
22;A lovely traditional venue with great history.  Superb quality of food and service.
23;Fantastic atmospheric restaurant serving wonderful fresh seafood. Staff so cheerful & helpful, even with current restrictions, and no idea what the future holds for their jobs. Place was full and deservedly so.
24;Ask for a booth. My soup was awful so returned it.  Fish excellent...I thought the menu of the day could have been more interesting...not imaginative cooking...a bit dated.
25;Amazing service and food, my second time visiting Wiltons and I absolutely love it!
26;Great food in a fantastic old British setting. Oysters were excellent and Gouse perfectly cooked
27;Amazing food - best lobster thermidor - really nice people and great serivce
28;Very good evening spoiled by the 10.00pm curfew.Shame
29;Absolutely marvellous !
30;Love the fish/oystersGood for wheelchair users in terms of access
31;Wilson’s never disappoints!
32;One of the top ten restaurants in London  back there in November fine dining at its best
33;Fabulous place with amazing (sea)food, attentive staff and great atmosphere. I have dined here a few times before and even after being reopened for only 2 weeks after 6 months of being closed I could not tell any difference. Amazing. I will definitely be back soon! Thank you!
34;Excellent food which was perfectly presented. All members of staff were welcoming & friendly. Operating a good social distancing policy & i would happily recommend Wiltons. I will certainly be returning.
35;Excellent food and service. Rather warm room that became uncomfortably so in the last third of the meal. AirCon eventually turned on as we were leaving. Probably just a snafu due to it being the first evening sitting following lock down. Would strongly recommend
36;Fantastic lunch for my father’s 89th birthday.  Impeccable service, very attentive, they heard it was my father’s birthday and prepared for him a little cake without us asking!!   The lunch was lovely, and its a perfect restaurant for a special lunch.
37;Amazing experience! Delicious food! The baked Bishop Stilton Soufflé is worth coming back for more!  We had a birthday lunch and were given a very romantic table (in the booth). The staff was very attentive, welcoming and not intrusive. The food was absolutely delicious! Scallops, Lemon Sole, the Soufflé, Black halibut - everything was cooked to perfection. We will definitely be back!
38;One of our dining club’s best experiences....superb service, delightful surroundings and amazing food - one of the best fish restaurants we have been to.
39;Food 10 out of 10
40;Supreme amongst high quality traditional fish-with impeccable service.Impossible to beat at this level or quality in a beautiful and calm setting.Outstanding as always
41;Buzzy atmosphere, perfectly cooked food and attentive service.
42;Xlnt to 10th degree!
43;Wonderful atmosphere! Elegant place. Excellent food
44;The welcome, service, and ambience is quite simply generous and faultless. The multitude of staff acknowledge everyone. I started with twice baked Cropwell Bishop souffle, and continued with roasted skate wing with butter and capers. All delicious. I was not drinking alcohol for January, so settled for fizzy water. I have eaten at Wiltons many times, and have enjoyed every visit. My only criticism is the awful creamed potatoes (mash), which I have complained about on every visit. They cream the potatoes using a food processor, which results in a thick wallpaper paste consistency. Dreadful. They claim there is no time to do it differently. I will still visit regularly (if not banned) but will avoid the awful spuds
45;Great venue classic food with great service
46;Went for the seasonal menu, which is brilliant. Started with a nice glass of champagne, then had half dozen oysters followed by lemon sole and finished with the dessert. Worth every single penny! Highly recommended!
47;Wilton’s lives up to it’s reputation. Excellent service, very nice food and good choice on the set menu. Wine is quite expensive however would go back again.
48;I have always wanted to eat here but had not been able to afford it so was very glad to see there was a deal! Managed to find a bottle of wine just under £40 which was a relief.Food and service was faultless . We sat in a booth which was great for a catch up - we could hear each other easily.Great menu, vast wine list. Excellent experience all round I would happily recommend Wilton’s.
49;Great food and attentive service in typically English surroundings. Fully recommend.
50;Wilton's is perfect. A civilized place in an uncivilized world.
51;Food was a bit salty otherwise good
52;Terrific service, food and wine list  a joy to dine there.  Joe Cari New York
53;Yet again a happy, delicious memorable time was had by all.  Langoustines, Cheese soufflé, lamb cutlets & anchovies on toast were all absolute perfection,  We drank just as well too,  Nowhere could be better
54;We had an absolutely wonderful dinner at Wilton's from start to finish.  The service was impeccable and the Dover Sole was amazing.  We also loved the ambiance - so nice to be able to hear one another and enjoy nice conversation over a meal without the usual noise that most restaurants have now.  We will definitely return to Wiltons every time we are in London.
55;Wiltons was an oasis of calm and cosseting--the service was impeccable without being intrusive and the food was outstanding (Stilton shuffle, Dover sole)--for the quality, the price was spot on.  We can't wait for the opportunity to return.
56;Nice old-school atmosphere and excellent service. Not rushed. Rather pricey, even for this part of town, however.
57;Beautiful place with exceptional service and food. The sommelier was a gem leading us to a unique wine that was delicious. Awesome oysters and diver sole veronique terrific
58;As always, the service and food, as well as the wine selection, was excellent.
59;This is an amazing establishment. So British. The service and food were outstanding.  We had the Stilton soufflé appetizer and it was one of the best things we’ve ever had.
60;It’s a high end very “British” restaurant.
61;We went to Wiltons as they had a very good offer on through Open  Table.  It was great to experience a restaurant of this quality at a reasonable price.  We will go again!
62;Superb as ever.Tradition and style
63;We have dined at Wiltons for over a decade. Our most recent meal was exceptional fromstart to finish. We could easily dine here each night of our stay.  The smoked salmon,the soups, fish and lamb were perfect.  It is a busy kitchen, but we given time to enjoyour dinner without staff looking at the clock. The bar staff, the wait staff, etc. I neededa non-dairy emphasis, and my dishes were seasoned and finished with care.
64;____ _________4____________ _______________ _________8_______ ___________________________ ___________________________ ______________________________________ _____________________________________________________________________________________________________ ________________________________________________________________ ________________________________ ____________140________________________________ _____________________________________ __________________________________________________ ______________________
65;Kind courteous attentive friendly team gave us the most lovely time anyone could wish for. As ever, the food was delicious. Langoustines, eel, lamb etc all of the very best quality and cooked to absolute perfection
66;Our first visit to Wiltons, a very nice restaurant, very good service, and the staff were very attentive. Very nice food, prepared and served well. A very good evening.
67;The food was average. The ambiance ok. But the service left a lot to be desired. There was a constant feeling of being rushed. Worst of all was the way the sommelier asked my guest what she would like to drink. Instead of a general question, she asked if my guest wanted a glass of champagne or a kir royale. Such up-selling is tiresome and puts the host in an awkward situation and the guest who had only just arrived, being forced to chose one or the other. Please stop this practice. And when you have, let me know and I may return. Otherwise I won’t.
68;We had a spectacular dining experience to celebrate our week in London. I highly recommend this restaurant if you are looking for outstanding seafood and excellent service.
69;Very good as usualBut as a regular would have appreciated to have a nicer table
70;Perfect. Best British food Restaurant
71;Old England elegance
72;Wilton’s is extraordinary. It provides the very best time after time. The best ingredients, cooked with apparent simplicity & ease, to produce the most delicious food. Swift, friendly service from a team of knowledgeable staff who are keen to ensure every customer has a great experience. Good seating, lighting and acoustics- sadly often lacking in many other establishments that consider themselves equal. A proper restaurant  for those who appreciate the best
73;Food was dreadful but a lovely place. Staff were attentive
74;The food and service were both fantastic. I think this was one of the best meal experiences I have had in a very long time. I can’t wait to go back!
75;Perfect venue for lunch in Jermyn Street. The carving trolley is a highlight.
76;Amazing service and dinner - we had a wonderful time on our anniversary
77;Just outstanding food and service.  Wonderful ambiance!
78;We had a most enjoyable lunch.The atmosphere  was relaxed and our table was in an area where you could talk  without having to raise your voice,  which for me is important. The service was good and so was the food. We particularly liked the cheese soufle and the desert which was delicious. Tha main course was  OK, but not exceptional.
79;Fine dining at it's very best. We never eaten at such an elegant restaurant.
80;I have already reviewed Wilton’s recently, and can confirm that this is a quality restaurant with understated class.
81;Exceptional food. Impeccable service. Everything you would expect from a London institution.
82;wilton’s staff and food are the epitome of excellence. simply the best restaurant for classic European food. It never fails to reward. the experience is always enjoyable and fun.
